model,persona_type,persona_id,accuracy_mean,accuracy_std,f1_weighted_mean,f1_weighted_std,f1_macro_mean,f1_macro_std,mean_error_mean,mean_error_std,mean_absolute_error_mean,mean_absolute_error_std,hate_over_flagging_rate_mean,hate_over_flagging_rate_std,offensive_over_flagging_rate_mean,offensive_over_flagging_rate_std,offensive_to_hate_rate_mean,offensive_to_hate_rate_std,n_runs
qwen3_32b,persona,somewhat_lonely,0.3433333333333333,0.0033993463423951675,0.3591408728335505,0.0021195933302258006,0.37123989131795604,0.007878902081854856,0.41333333333333333,0.018571184369578816,0.7013333333333334,0.009977753031397186,0.07308970099667773,0.01085045290269403,0.7397563676633444,0.0196235272942075,0.16,0.01885618083164127,3
qwen3_32b,persona,left-wing,0.4186666666666667,0.009977753031397186,0.4240123982562518,0.01362200789630977,0.4368280422130107,0.008035448100437928,0.5233333333333333,0.008379870059984364,0.6593333333333334,0.015520595635763768,0.1273532668881506,0.008719831532681958,0.6522702104097453,0.0056467547215866805,0.3022222222222222,0.04399775527382961,3
qwen3_32b,persona,right-wing,0.44133333333333336,0.008379870059984364,0.47804625014921637,0.01026203283223764,0.4472671715019764,0.010024461955087308,0.3393333333333333,0.012364824660660923,0.6433333333333334,0.019136933459209783,0.11517165005537099,0.007830639880249695,0.5382059800664453,0.014353799996473657,0.19111111111111112,0.0349955905511636,3
qwen3_32b,persona,centrist,0.432,0.010708252269472682,0.4773778725222899,0.008612973841901943,0.45053473327667953,0.012804622861458864,0.3173333333333333,0.010498677165349092,0.6026666666666666,0.010498677165349092,0.05537098560354375,0.012819309969867363,0.6168327796234773,0.013920049933528822,0.1466666666666667,0.028803291992923825,3
qwen3_32b,persona,white,0.48,0.0097979589711327,0.5149584831201378,0.010847804060713812,0.48506971203882715,0.012538603190892237,0.38933333333333336,0.012472191289246483,0.5946666666666666,0.02264705033528406,0.11517165005537099,0.020359663688649204,0.522702104097453,0.015894463005988176,0.25777777777777783,0.006285393610547077,3
qwen3_32b,persona,black,0.40066666666666667,0.007363574011458156,0.4114960068324815,0.009559912564063277,0.4156694397980734,0.007422911745007959,0.528,0.01766352173265571,0.684,0.004320493798938543,0.13953488372093023,0.007176899998236842,0.6378737541528239,0.025876680942520346,0.36000000000000004,0.02880329199292382,3
qwen3_32b,persona,asian,0.436,0.007483314773547889,0.4417846787606004,0.0035484343716940246,0.45618756686662776,0.005789762441016376,0.5053333333333333,0.017613126418163892,0.6386666666666666,0.003399346342395193,0.1229235880398671,0.00939676785629963,0.6445182724252492,0.010850452902694013,0.24,0.018856180831641273,3
qwen3_32b,persona,christian,0.3993333333333333,0.0037712361663282566,0.4224571300407199,0.003776677421086514,0.4225882290120382,0.0030179685562685718,0.4286666666666667,0.009843215373488944,0.6633333333333334,0.0024944382578492965,0.10077519379844962,0.004143585145929059,0.655592469545958,0.006826593580253576,0.20000000000000004,0.01088662107903635,3
qwen3_32b,persona,muslim,0.4093333333333333,0.008379870059984338,0.4319613710265493,0.011921109940638303,0.4335308803076528,0.006883863469306501,0.4346666666666667,0.014267289706021811,0.6506666666666666,0.00659966329107445,0.09634551495016612,0.005425226451347013,0.6566998892580288,0.022092953868504975,0.2088888888888889,0.016629588385661958,3
qwen3_32b,persona,jewish,0.42055689424364123,0.002613766461399778,0.42715185521822385,0.005567959841950077,0.4336970612075805,0.00010669078887791928,0.5267041499330656,0.008225467823968394,0.6735635876840697,0.0017457313898931086,0.15314984981314608,0.006883971532364062,0.6138105238206351,0.016737838100104846,0.3111111111111111,0.027397395568751003,3
qwen3_32b,persona,atheist,0.472,0.0043204937989385515,0.5074348872890363,0.006700409778743325,0.4812302170681937,0.007352006022631331,0.38466666666666666,0.017987650084309376,0.598,0.014236104336041762,0.11184939091915837,0.017439663065363924,0.5382059800664453,0.015103191248046361,0.21777777777777776,0.03142696805273544,3
qwen3_32b,persona,hindu,0.4086666666666667,0.009285592184789396,0.44270474641162955,0.008007807952765017,0.42815502345366063,0.008348401174121953,0.38133333333333336,0.012256517540566834,0.6466666666666666,0.00659966329107445,0.09080841638981174,0.006264511904199758,0.627906976744186,0.014353799996473673,0.17777777777777778,0.04909049340972116,3
