model,run,persona_type,persona_id,accuracy,f1_weighted,f1_macro,mean_error,mean_absolute_error,hate_over_flagging_rate,offensive_over_flagging_rate,offensive_to_hate_rate
mistral_medium,r2,persona,muslim,0.422,0.38988873370577276,0.41260604179598587,0.7,0.732,0.2558139534883721,0.5614617940199336,0.4666666666666667
mistral_medium,r2,persona,jewish,0.462,0.445391944190413,0.4408560044365261,0.69,0.734,0.32558139534883723,0.4119601328903654,0.48
mistral_medium,r2,persona,atheist,0.532,0.5538890791646546,0.5224354006323316,0.448,0.556,0.1461794019933555,0.46179401993355484,0.32
mistral_medium,r2,persona,hindu,0.432,0.40428872741555383,0.4304071746530506,0.656,0.7,0.21926910299003322,0.5913621262458472,0.38666666666666666
mistral_medium,r3,baseline,baseline,0.482,0.47857502293004256,0.46371054411369594,0.62,0.704,0.3089700996677741,0.38205980066445183,0.4
mistral_medium,r3,persona,15,0.442,0.43980706709308964,0.4454256141435282,0.576,0.664,0.1760797342192691,0.584717607973422,0.37333333333333335
mistral_medium,r3,persona,35,0.4529058116232465,0.446485919738852,0.448810106556563,0.5971943887775552,0.6733466933867736,0.21,0.54,0.38666666666666666
mistral_medium,r3,persona,65,0.40606060606060607,0.3918474014248662,0.4129968895257401,0.604040404040404,0.705050505050505,0.1858108108108108,0.6283783783783784,0.37333333333333335
mistral_medium,r3,persona,no_formal_education,0.496,0.5186986846074862,0.49777142460069296,0.454,0.59,0.14285714285714285,0.5116279069767442,0.28
mistral_medium,r3,persona,high_school_education,0.464,0.474161152101712,0.47222387117241454,0.516,0.62,0.13953488372093023,0.584717607973422,0.32
mistral_medium,r3,persona,higher_education,0.454,0.45282788434806787,0.4487754345552511,0.592,0.66,0.1893687707641196,0.5514950166112956,0.44
mistral_medium,r3,persona,male,0.49,0.5046082583135963,0.49192456247437094,0.5,0.596,0.14285714285714285,0.5415282392026578,0.3333333333333333
mistral_medium,r3,persona,female,0.436,0.42221243800251723,0.4313543308997306,0.636,0.688,0.2059800664451827,0.574750830564784,0.4533333333333333
mistral_medium,r3,persona,not_lonely,0.534,0.5595132308055534,0.5268841018270608,0.428,0.544,0.12956810631229235,0.4717607973421927,0.30666666666666664
mistral_medium,r3,persona,somewhat_lonely,0.48,0.4948421128826418,0.4886380674612436,0.49,0.598,0.12956810631229235,0.5714285714285714,0.29333333333333333
mistral_medium,r3,persona,left-wing,0.416,0.37839706131447187,0.39254040912395083,0.778,0.794,0.3488372093023256,0.46511627906976744,0.5733333333333334
mistral_medium,r3,persona,right-wing,0.472,0.48819535381639967,0.4724324700394405,0.476,0.64,0.17275747508305647,0.5083056478405316,0.29333333333333333
mistral_medium,r3,persona,centrist,0.43,0.4557538127348847,0.46256240133757526,0.436,0.604,0.05647840531561462,0.6943521594684385,0.22666666666666666
mistral_medium,r3,persona,white,0.508,0.5311895416227608,0.5070907973305233,0.46,0.568,0.12624584717607973,0.5182724252491694,0.3333333333333333
mistral_medium,r3,persona,black,0.462,0.45016969696969694,0.4481962481962482,0.64,0.692,0.2558139534883721,0.4850498338870432,0.44
mistral_medium,r3,persona,asian,0.48,0.4797534500547978,0.47139284650702945,0.584,0.644,0.2059800664451827,0.5049833887043189,0.41333333333333333
mistral_medium,r3,persona,christian,0.394,0.3682569421359395,0.39058671729371813,0.672,0.736,0.2159468438538206,0.6179401993355482,0.48
