model,persona_type,persona_id,subgroup,accuracy_mean,accuracy_std,f1_weighted_mean,f1_weighted_std,f1_macro_mean,f1_macro_std,mean_error_mean,mean_error_std,mean_absolute_error_mean,mean_absolute_error_std,hate_over_flagging_rate_mean,hate_over_flagging_rate_std,offensive_over_flagging_rate_mean,offensive_over_flagging_rate_std,offensive_to_hate_rate_mean,offensive_to_hate_rate_std,n_samples_mean,n_runs
mistral_medium,persona,jewish,other,0.4666666666666666,0.005545935538718026,0.4249960215385125,0.006661766779885931,0.4646421129834091,0.006194724448780669,0.6705882352941176,0.016637806616154053,0.7019607843137255,0.005545935538718053,0.2986111111111111,0.009820927516479817,0.48611111111111116,0.009820927516479817,0.35185185185185186,0.026189140043946214,85.0,3
mistral_medium,persona,atheist,other,0.568627450980392,0.01999615495526584,0.5732588990438687,0.020306396822185796,0.5653876620525451,0.01779463055131391,0.44313725490196076,0.011091871077436026,0.5450980392156862,0.022183742154872052,0.20138888888888892,0.009820927516479831,0.3680555555555555,0.025983731852596816,0.2777777777777778,0.0,85.0,3
mistral_medium,persona,hindu,other,0.4823529411764706,0.019211684257122965,0.4483614499998432,0.02760211965945473,0.489983451194131,0.018735684440010086,0.592156862745098,0.01999615495526584,0.6392156862745098,0.019996154955265803,0.2152777777777778,0.009820927516479817,0.5555555555555555,0.03540985773328321,0.2777777777777778,0.0,85.0,3
mistral_medium,baseline,baseline,none,0.3140589569160998,0.012827333899075706,0.4210229464394882,0.017719115102333267,0.224156268782196,0.004671375864422701,0.9195011337868482,0.021571765975556087,0.9671201814058956,0.02157176597555605,0.3096129837702872,0.010739482231014518,0.39325842696629215,0.009174118886828382,0.38888888888888884,0.045360921162651446,294.0,3
mistral_medium,persona,15,none,0.2766439909297052,0.0016034167373844635,0.36279055518014663,0.003538261162445074,0.227020386861995,0.0020094319901031656,0.8605442176870749,0.015462791039666472,0.8945578231292517,0.010013334315564464,0.1885143570536829,0.011577551180394139,0.5705368289637952,0.009830222064933569,0.2777777777777778,0.0,294.0,3
mistral_medium,persona,35,none,0.28782707622298065,0.008957915670093087,0.38001633299849225,0.011797515928617516,0.22478249350977555,0.002933480852650022,0.8623435722411831,0.01126222404620208,0.9032992036405005,0.011262224046202132,0.21052631578947367,0.003069536018525286,0.5325814536340853,0.007724829577655325,0.2777777777777778,0.0,293.0,3
mistral_medium,persona,65,none,0.23109519100327688,0.011010790406773843,0.29913350201985284,0.013978750858706937,0.2007367736973692,0.009073757555528984,0.8970450322021426,0.01661645159601984,0.933677952043713,0.01689630528593948,0.18160589432677185,0.006527472142615885,0.6292644689644318,0.004058356709379125,0.24074074074074073,0.026189140043946214,291.3333333333333,3
mistral_medium,persona,no_formal_education,none,0.36848072562358275,0.004242241935117852,0.4755927513474922,0.004172921818087319,0.27746402407438625,0.0025951906319459828,0.7222222222222222,0.010514306684235504,0.7675736961451246,0.008927446569174399,0.149812734082397,0.012232158515771172,0.5043695380774033,0.01569264056176847,0.24074074074074073,0.026189140043946214,294.0,3
mistral_medium,persona,high_school_education,none,0.3140589569160998,0.008927446569174373,0.4104308183141283,0.008735914378660361,0.2573869345270391,0.005049358883239056,0.7687074829931971,0.00481025021215339,0.8072562358276644,0.006989131522640571,0.13358302122347065,0.007062240011850665,0.5842696629213483,0.012232158515771205,0.24074074074074073,0.026189140043946214,294.0,3
mistral_medium,persona,higher_education,none,0.28798185941043086,0.012523085053500286,0.3803357251091605,0.018406968873227982,0.22807175452009298,0.004109175503128698,0.8503401360544217,0.012105530897994645,0.8888888888888888,0.008927446569174399,0.1947565543071161,0.005296680008887996,0.5480649188514357,0.021478964462028995,0.29629629629629634,0.02618914004394619,294.0,3
mistral_medium,persona,male,none,0.3356009070294785,0.008927446569174373,0.4372738548935458,0.011419628027768757,0.26670873378321075,0.0026985546527653675,0.7482993197278911,0.007347778569623381,0.7868480725623582,0.006989131522640571,0.1348314606741573,0.005296680008887996,0.5580524344569289,0.01401369807780501,0.25925925925925924,0.026189140043946214,294.0,3
mistral_medium,persona,female,none,0.26077097505668934,0.004242241935117852,0.34385516134415656,0.004199092771393239,0.21316497880784266,0.004038534881944726,0.8968253968253969,0.0016034167373844633,0.9263038548752834,0.004242241935117852,0.20599250936329586,2.7755575615628914e-17,0.5692883895131087,0.003058039628942756,0.3333333333333333,0.045360921162651446,294.0,3
mistral_medium,persona,not_lonely,none,0.40816326530612246,0.007347778569623432,0.5194655816694348,0.00771189675106412,0.3007837152686666,0.004316247178101502,0.6678004535147392,0.010514306684235504,0.7086167800453514,0.010514306684235504,0.12858926342072408,0.004671232692601674,0.4818976279650437,0.006365817120590233,0.2777777777777778,0.0,294.0,3
