model,group,persona_code,token_f1_mean,token_f1_std,iou_f1_mean,iou_f1_std,n_eval_mean,gt_total
mistral_medium,BO,25_f_b,0.5230513817165529,0.0010433982351492383,0.43533333333333335,0.009843215373488942,500.0,500
mistral_medium,BO,25_f_l,0.5260246795394132,0.004574345179814405,0.4346666666666667,0.01517307556898807,500.0,500
mistral_medium,BO,25_f_w,0.528192181013625,0.0013421638442672602,0.438,0.008640987597877155,500.0,500
mistral_medium,BO,45_m_b,0.5266980485894616,0.002285814838860823,0.43933333333333335,0.004988876515698593,500.0,500
mistral_medium,BO,45_m_l,0.5274079498280005,0.0021327943634970497,0.436,0.0065319726474218145,500.0,500
mistral_medium,BO,45_m_w,0.5257211199146373,0.0007622052102156231,0.43733333333333335,0.005734883511361756,500.0,500
mistral_medium,BO,45_f_b,0.5224561307801255,0.002214253616875519,0.43333333333333335,0.004988876515698593,500.0,500
mistral_medium,BO,45_f_l,0.5276892623828221,0.003678164737348577,0.4366666666666667,0.008993825042154702,500.0,500
mistral_medium,BO,45_f_w,0.5270451567835612,0.0010459982145041566,0.43933333333333335,0.0018856180831641283,500.0,500
mistral_medium,BY,25_m_b,0.48730617629818934,0.006242701620839855,0.3586666666666667,0.010624918300339495,500.0,500
mistral_medium,BY,25_m_l,0.4889739163402124,0.002143745161919287,0.3666666666666667,0.008379870059984364,500.0,500
mistral_medium,BY,25_m_w,0.4867080907505277,0.005211480772505027,0.3553333333333333,0.009285592184789422,500.0,500
mistral_medium,BY,25_f_b,0.48478703003661455,0.004163190253674356,0.3546666666666667,0.0037712361663282566,500.0,500
mistral_medium,BY,25_f_l,0.49204359162530126,0.0011132943080997039,0.3666666666666667,0.003399346342395193,500.0,500
mistral_medium,BY,25_f_w,0.4920519040709625,0.0030683961545720823,0.36199999999999993,0.007483314773547889,500.0,500
mistral_medium,BY,45_m_b,0.4848572319832549,0.0013981356703403611,0.36199999999999993,0.0016329931618554536,500.0,500
mistral_medium,BY,45_m_l,0.49019064690303943,0.0011744933674556909,0.36599999999999994,0.0043204937989385775,500.0,500
mistral_medium,BY,45_m_w,0.4863755272376699,0.000675985172188766,0.35799999999999993,0.00489897948556636,500.0,500
mistral_medium,BY,45_f_b,0.4872768367578644,0.0015414867042437205,0.35733333333333334,0.0009428090415820641,500.0,500
mistral_medium,BY,45_f_l,0.49220058995939003,0.00413392159324271,0.3686666666666667,0.019136933459209755,500.0,500
mistral_medium,BY,45_f_w,0.49040285514628024,0.004610759558533669,0.3553333333333333,0.0024944382578492965,500.0,500
mistral_medium,LO,25_m_b,0.5443899874294841,0.004169514957571877,0.43533333333333335,0.005734883511361756,500.0,500
mistral_medium,LO,25_m_l,0.5506499634706193,0.006929283034746313,0.4506666666666666,0.013888444437333091,500.0,500
mistral_medium,LO,25_m_w,0.5521485513561638,0.0013182876316737838,0.45933333333333337,0.006798692684790386,500.0,500
mistral_medium,LO,25_f_b,0.5485812176777092,0.0031363572802986955,0.4426666666666667,0.01309792180292568,500.0,500
mistral_medium,LO,25_f_l,0.5488068081497484,0.0029298495238680297,0.44133333333333336,0.0033993463423951926,500.0,500
mistral_medium,LO,25_f_w,0.55174943093117,0.004560596485480521,0.44133333333333336,0.006798692684790386,500.0,500
mistral_medium,LO,45_m_b,0.5509114385980457,0.0022543463649574865,0.448,0.00489897948556636,500.0,500
mistral_medium,LO,45_m_l,0.5509745903403869,0.002292683659854719,0.446,0.014966629547095779,500.0,500
mistral_medium,LO,45_m_w,0.5517027611744537,0.0015344616680948346,0.45733333333333337,0.004714045207910321,500.0,500
mistral_medium,LO,45_f_b,0.5498024000042379,0.002770408526760504,0.4486666666666667,0.006182412330330475,500.0,500
mistral_medium,LO,45_f_l,0.5526685167257929,0.001464319580393135,0.448,0.0016329931618554536,500.0,500
mistral_medium,LO,45_f_w,0.5552645491431941,0.004075526226165149,0.4566666666666667,0.008379870059984364,500.0,500
mistral_medium,LY,25_m_b,0.4968632451315511,0.0034199102332059875,0.36999999999999994,0.012961481396815732,500.0,500
mistral_medium,LY,25_m_l,0.5010083860676007,0.0019306830061602183,0.38599999999999995,0.0032659863237109073,500.0,500
mistral_medium,LY,25_m_w,0.4991555441830129,0.00711624897039754,0.38066666666666665,0.016679994670929087,500.0,500
mistral_medium,LY,25_f_b,0.49200017677999175,0.0022154306260042163,0.36999999999999994,0.011775681155103806,500.0,500
mistral_medium,LY,25_f_l,0.49627206199123,0.004703674011267925,0.3666666666666667,0.005249338582674546,500.0,500
mistral_medium,LY,25_f_w,0.5015947226816687,0.0011769053805368453,0.37266666666666665,0.0009428090415820641,500.0,500
