model,group,persona_text,accuracy_mean,accuracy_std,correct_mean,total_mean,missing_mean,matches_group,valid_runs,total_runs
qwen3_32b,LY,A 25-year-old African American Female,0.6726666666666667,0.004988876515698593,336.3333333333333,500.0,0.0,False,3,3
qwen3_32b,LY,A 25-year-old Hispanic Female,0.668,0.011775681155103806,334.0,500.0,0.0,True,3,3
qwen3_32b,LY,A 25-year-old Caucasian Female,0.6753333333333332,0.00899382504215465,337.6666666666667,500.0,0.0,False,3,3
qwen3_32b,LY,A 45-year-old African American Male,0.6726666666666667,0.008219218670625309,336.3333333333333,500.0,0.0,False,3,3
qwen3_32b,LY,A 45-year-old Hispanic Male,0.6706666666666666,0.009977753031397186,335.3333333333333,500.0,0.0,False,3,3
qwen3_32b,LY,A 45-year-old Caucasian Male,0.6673333333333334,0.0024944382578492965,333.6666666666667,500.0,0.0,False,3,3
qwen3_32b,LY,A 45-year-old African American Female,0.6573333333333333,0.008055363982396388,328.6666666666667,500.0,0.0,False,3,3
qwen3_32b,LY,A 45-year-old Hispanic Female,0.6686666666666667,0.006798692684790385,334.3333333333333,500.0,0.0,False,3,3
qwen3_32b,LY,A 45-year-old Caucasian Female,0.668,0.002828427124746193,334.0,500.0,0.0,False,3,3
qwen3_32b,WO,A 25-year-old African American Male,0.7186666666666666,0.0037712361663282566,359.3333333333333,500.0,0.0,False,3,3
qwen3_32b,WO,A 25-year-old Hispanic Male,0.7173333333333334,0.010873004286866737,358.6666666666667,500.0,0.0,False,3,3
qwen3_32b,WO,A 25-year-old Caucasian Male,0.7166666666666667,0.005734883511361756,358.3333333333333,500.0,0.0,False,3,3
qwen3_32b,WO,A 25-year-old African American Female,0.7193333333333333,0.005249338582674546,359.6666666666667,500.0,0.0,False,3,3
qwen3_32b,WO,A 25-year-old Hispanic Female,0.7166666666666667,0.008055363982396388,358.3333333333333,500.0,0.0,False,3,3
qwen3_32b,WO,A 25-year-old Caucasian Female,0.7153333333333333,0.0037712361663282566,357.6666666666667,500.0,0.0,False,3,3
qwen3_32b,WO,A 45-year-old African American Male,0.7153333333333333,0.0024944382578492965,357.6666666666667,500.0,0.0,False,3,3
qwen3_32b,WO,A 45-year-old Hispanic Male,0.7246666666666667,0.013597385369580772,362.3333333333333,500.0,0.0,False,3,3
qwen3_32b,WO,A 45-year-old Caucasian Male,0.718,0.011775681155103806,359.0,500.0,0.0,True,3,3
qwen3_32b,WO,A 45-year-old African American Female,0.7066666666666667,0.0041096093353126546,353.3333333333333,500.0,0.0,False,3,3
qwen3_32b,WO,A 45-year-old Hispanic Female,0.7206666666666667,0.00659966329107445,360.3333333333333,500.0,0.0,False,3,3
qwen3_32b,WO,A 45-year-old Caucasian Female,0.7153333333333333,0.003399346342395193,357.6666666666667,500.0,0.0,True,3,3
qwen3_32b,WY,A 25-year-old African American Male,0.658,0.01131370849898477,329.0,500.0,0.0,False,3,3
qwen3_32b,WY,A 25-year-old Hispanic Male,0.6626666666666666,0.0009428090415820641,331.3333333333333,500.0,0.0,False,3,3
qwen3_32b,WY,A 25-year-old Caucasian Male,0.6686666666666667,0.010873004286866737,334.3333333333333,500.0,0.0,True,3,3
qwen3_32b,WY,A 25-year-old African American Female,0.67,0.007483314773547889,335.0,500.0,0.0,False,3,3
qwen3_32b,WY,A 25-year-old Hispanic Female,0.6646666666666667,0.0041096093353126546,332.3333333333333,500.0,0.0,False,3,3
qwen3_32b,WY,A 25-year-old Caucasian Female,0.6593333333333334,0.007717224601860157,329.6666666666667,500.0,0.0,True,3,3
qwen3_32b,WY,A 45-year-old African American Male,0.6573333333333333,0.0018856180831641283,328.6666666666667,500.0,0.0,False,3,3
