model,group,persona_code,token_f1_mean,token_f1_std,iou_f1_mean,iou_f1_std,n_eval_mean,gt_total
mistral_medium,LY,45_m_w,0.5668590639072288,0.005014616205807729,0.44106463878326996,0.011193613265307793,263.0,263
mistral_medium,LY,45_f_b,0.5634715884733288,0.006865259825708303,0.43092522179974657,0.008962063132909346,263.0,263
mistral_medium,LY,45_f_l,0.5635421560767305,0.005151009433893835,0.43346007604562736,0.009313649212103328,263.0,263
mistral_medium,LY,45_f_w,0.5558964752684181,0.001984827334751579,0.4169835234474018,0.00997973114576908,263.0,263
mistral_medium,WO,25_m_b,0.6250844652344636,0.0020721344907081063,0.5386565272496832,0.014671529661331072,263.0,263
mistral_medium,WO,25_m_l,0.6362899193450352,0.0043426149237779385,0.5564005069708492,0.0035848252531637177,263.0,263
mistral_medium,WO,25_m_w,0.6279158805690984,0.005218356990132894,0.5373891001267427,0.0064626356319300235,263.0,263
mistral_medium,WO,25_f_b,0.6297779665731132,0.0003161824995196156,0.5348542458808618,0.0035848252531637172,263.0,263
mistral_medium,WO,25_f_l,0.6311014797760918,0.0026965382507688003,0.5525982256020279,0.007812945504396695,263.0,263
mistral_medium,WO,25_f_w,0.6276665270249754,0.0034328062873628805,0.541191381495564,0.0078129455043967,263.0,263
mistral_medium,WO,45_m_b,0.6285938476668774,0.0036627693301451883,0.541191381495564,0.0035848252531637172,263.0,263
mistral_medium,WO,45_m_l,0.6326802013450502,0.00681603203114694,0.5589353612167302,0.010754475759491204,263.0,263
mistral_medium,WO,45_m_w,0.6338197828523485,0.00026394447042532625,0.5462610899873257,0.004742278056747749,263.0,263
mistral_medium,WO,45_f_b,0.6285630663618971,0.006462841180509662,0.5462610899873258,0.015625891008793344,263.0,263
mistral_medium,WO,45_f_l,0.6354751973250672,0.0018373552907012367,0.5576679340937897,0.006462635631929987,263.0,263
mistral_medium,WO,45_f_w,0.6308360170790549,0.0017197949261562803,0.5424588086185044,0.006462635631930037,263.0,263
mistral_medium,WY,25_m_b,0.5613278316887151,0.0026600860014778806,0.41825095057034223,0.0031045497373677834,263.0,263
mistral_medium,WY,25_m_l,0.5677899481713511,0.0013093648351251374,0.4131812420785805,0.008962063132909346,263.0,263
mistral_medium,WY,25_m_w,0.571061318259814,0.009754183464533118,0.4296577946768061,0.01938790689579006,263.0,263
mistral_medium,WY,25_f_b,0.5648922155117247,0.0038554959356248224,0.42458808618504434,0.007812945504396672,263.0,263
mistral_medium,WY,25_f_l,0.5635483198267316,0.0012842663882114518,0.4106463878326996,0.0031045497373677834,263.0,263
mistral_medium,WY,25_f_w,0.5716907790252976,0.005620308556693446,0.4258555133079848,0.01642773307581206,263.0,263
mistral_medium,WY,45_m_b,0.5643359311789783,0.002633810714018262,0.4233206590621039,0.010902820363805615,263.0,263
mistral_medium,WY,45_m_l,0.5665284083561718,0.003701138066756314,0.420785804816223,0.01467152966133109,263.0,263
mistral_medium,WY,45_m_w,0.5755563347955257,0.004587386186878493,0.42839036755386567,0.010902820363805615,263.0,263
mistral_medium,WY,45_f_b,0.5687243147456901,0.005304705700328547,0.41318124207858054,0.009979731145769081,263.0,263
mistral_medium,WY,45_f_l,0.5697725172814345,0.003544891771369671,0.4283903675538656,0.00646263563193003,263.0,263
