model,group,persona_text,accuracy_mean,accuracy_std,macro_f1_3class_mean,macro_f1_3class_std,macro_f1_binary_mean,macro_f1_binary_std,correct_mean,total_mean,missing_mean,matches_group,valid_runs,total_runs
mistral_medium,BO,A 25-year-old Caucasian Female,0.9328263624841572,0.0017924126265818849,0.6370326835256686,0.0006011507618075732,0.9799512953248423,3.331245288607626e-05,245.33333333333334,263.0,0.0,False,3,3
mistral_medium,BO,A 45-year-old African American Male,0.9239543726235743,0.003104549737367806,0.6315014113648262,0.001905534760922327,0.9719205355202267,0.003241681049254873,243.0,263.0,0.0,True,3,3
mistral_medium,BO,A 45-year-old Hispanic Male,0.9340937896070977,0.0017924126265818849,0.6362817713085094,0.0006009789732127259,0.9760660505298157,3.9676062236978826e-05,245.66666666666666,263.0,0.0,False,3,3
mistral_medium,BO,A 45-year-old Caucasian Male,0.9315589353612168,0.003104549737367761,0.6370541187981685,0.001626735316480194,0.9812444682407238,0.0019130879936374587,245.0,263.0,0.0,False,3,3
mistral_medium,BO,A 45-year-old African American Female,0.9340937896070974,0.0017924126265818849,0.6362392345177715,0.0015680900410302576,0.9760719884227743,0.0032149741262345742,245.66666666666666,263.0,0.0,True,3,3
mistral_medium,BO,A 45-year-old Hispanic Female,0.9366286438529784,0.0017924126265818849,0.6379707227234791,0.0010697325689705724,0.9787268976343609,0.0018620257306017386,246.33333333333334,263.0,0.0,False,3,3
mistral_medium,BO,A 45-year-old Caucasian Female,0.9340937896070974,0.0017924126265818849,0.6366738084652525,0.0010008792712876155,0.9773674840314941,0.0018606602311540706,245.66666666666666,263.0,0.0,False,3,3
mistral_medium,BY,A 25-year-old African American Male,0.7579214195183778,0.0047422780567476985,0.5544848068851574,0.0020235143959473107,0.9213649392679452,0.00042974719048633457,199.33333333333334,263.0,0.0,True,3,3
mistral_medium,BY,A 25-year-old Hispanic Male,0.7667934093789608,0.0017924126265818849,0.5597989107666527,0.00020275463259831813,0.9278318697243008,0.0018743108442693663,201.66666666666666,263.0,0.0,False,3,3
mistral_medium,BY,A 25-year-old Caucasian Male,0.7667934093789608,0.0017924126265818849,0.5602111800776984,0.0007065796722397307,0.929270588888146,0.0019594102970172966,201.66666666666666,263.0,0.0,False,3,3
mistral_medium,BY,A 25-year-old African American Female,0.7604562737642585,0.003104549737367761,0.5559616611385695,0.0017898291098012169,0.9230145418071798,0.0022501357637499143,200.0,263.0,0.0,True,3,3
mistral_medium,BY,A 25-year-old Hispanic Female,0.7667934093789608,0.0017924126265818849,0.559775126135071,0.0010697486702814292,0.9278261690697649,0.002093713596295273,201.66666666666666,263.0,0.0,False,3,3
mistral_medium,BY,A 25-year-old Caucasian Female,0.7655259822560203,0.0017924126265818849,0.5600303742550148,0.0007328480696324228,0.9305821967610969,0.00014092810785979712,201.33333333333334,263.0,0.0,False,3,3
mistral_medium,BY,A 45-year-old African American Male,0.7579214195183778,0.0017924126265818326,0.5549093481006132,0.0007540338290186142,0.9227845750119066,0.0019555186794645687,199.33333333333334,263.0,0.0,False,3,3
mistral_medium,BY,A 45-year-old Hispanic Male,0.7667934093789608,0.0017924126265818849,0.5594246538824853,0.0007320337939994631,0.9264011799410031,0.00014899005081892908,201.66666666666666,263.0,0.0,False,3,3
mistral_medium,BY,A 45-year-old Caucasian Male,0.7642585551330798,0.003104549737367806,0.5599227004004241,0.0018058839305773939,0.9319319538758931,0.0022683969501693167,201.0,263.0,0.0,False,3,3
