model,run,group,persona_code,token_f1,iou_f1,n_eval,missing,gt_total
gpt_oss_120b,r3,BO,45_m_w,0.6053726336657095,0.5019011406844106,263,0,263
gpt_oss_120b,r3,BO,45_f_b,0.5873953867988527,0.46387832699619774,263,0,263
gpt_oss_120b,r3,BO,45_f_l,0.6060701427461125,0.5019011406844106,263,0,263
gpt_oss_120b,r3,BO,45_f_w,0.6090983061748776,0.4828897338403042,263,0,263
gpt_oss_120b,r3,BY,25_m_b,0.5128046601324685,0.3840304182509506,263,0,263
gpt_oss_120b,r3,BY,25_m_l,0.517132087964689,0.39923954372623577,263,0,263
gpt_oss_120b,r3,BY,25_m_w,0.5206675221957823,0.4068441064638783,263,0,263
gpt_oss_120b,r3,BY,25_f_b,0.518663584875312,0.41064638783269963,263,0,263
gpt_oss_120b,r3,BY,25_f_l,0.535824473544347,0.4296577946768061,263,0,263
gpt_oss_120b,r3,BY,25_f_w,0.5260871961423531,0.39923954372623577,263,0,263
gpt_oss_120b,r3,BY,45_m_b,0.5170160344039865,0.39923954372623577,263,0,263
gpt_oss_120b,r3,BY,45_m_l,0.5256499491880724,0.38783269961977185,263,0,263
gpt_oss_120b,r3,BY,45_m_w,0.5227375992209448,0.39543726235741444,263,0,263
gpt_oss_120b,r3,BY,45_f_b,0.5213665796129394,0.39543726235741444,263,0,263
gpt_oss_120b,r3,BY,45_f_l,0.5377105106704044,0.41825095057034223,263,0,263
gpt_oss_120b,r3,BY,45_f_w,0.5180935774992211,0.4068441064638783,263,0,263
gpt_oss_120b,r3,LO,25_m_b,0.5607391683469682,0.43346007604562736,263,0,263
gpt_oss_120b,r3,LO,25_m_l,0.5458751890508003,0.38783269961977185,263,0,263
gpt_oss_120b,r3,LO,25_m_w,0.5527426629009833,0.4220532319391635,263,0,263
gpt_oss_120b,r3,LO,25_f_b,0.540573800695462,0.4068441064638783,263,0,263
gpt_oss_120b,r3,LO,25_f_l,0.5679918927961873,0.4068441064638783,263,0,263
gpt_oss_120b,r3,LO,25_f_w,0.5505098113548225,0.3916349809885932,263,0,263
